,idx,prediction
369,369,8
370,370,1
371,371,26
372,372,28
373,373,33
374,374,34
375,375,16
376,376,30
377,377,24
378,378,30
379,379,30
380,380,3
381,381,30
382,382,28
383,383,33
384,384,13
385,385,28
386,386,26
387,387,28
388,388,24
389,389,16
390,390,4
391,391,19
392,392,28
393,393,2
394,394,30
395,395,22
396,396,38
397,397,25
398,398,28
399,399,28
400,400,2
401,401,30
402,402,30
403,403,28
404,404,4
405,405,19
406,406,4
407,407,4
408,408,16
409,409,30
410,410,16
411,411,24
412,412,16
413,413,26
414,414,16
415,415,20
416,416,28
417,417,16
418,418,28
419,419,20
420,420,4
421,421,2
422,422,2
423,423,5
424,424,28
425,425,27
426,426,2
427,427,16
428,428,8
429,429,20
430,430,27
431,431,22
432,432,27
433,433,30
434,434,19
435,435,2
436,436,20
437,437,24
438,438,6
439,439,16
440,440,8
441,441,22
442,442,24
443,443,6
444,444,34
445,445,26
446,446,5
447,447,3
448,448,30
449,449,31
450,450,24
451,451,24
452,452,24
453,453,34
454,454,16
455,455,15
456,456,28
457,457,25
458,458,16
459,459,16
460,460,28
461,461,8
462,462,16
463,463,16
464,464,30
465,465,28
466,466,31
467,467,24
468,468,4
469,469,24
470,470,31
471,471,16
472,472,28
473,473,16
474,474,38
475,475,16
476,476,26
477,477,34
478,478,28
479,479,28
480,480,28
481,481,14
482,482,27
483,483,4
484,484,5
485,485,20
486,486,16
487,487,10
488,488,8
489,489,28
490,490,39
491,491,38
492,492,24
493,493,30
494,494,5
495,495,24
496,496,19
497,497,14
498,498,28
499,499,10
500,500,10
501,501,10
502,502,30
503,503,10
504,504,27
505,505,8
506,506,27
507,507,9
508,508,28
509,509,16
510,510,34
511,511,34
512,512,16
513,513,9
514,514,16
515,515,19
516,516,24
517,517,34
518,518,28
519,519,39
520,520,24
521,521,23
522,522,24
523,523,21
524,524,31
525,525,34
526,526,34
527,527,28
528,528,37
529,529,34
530,530,2
531,531,3
532,532,24
533,533,20
534,534,8
535,535,28
536,536,28
537,537,36
538,538,9
539,539,28
540,540,10
541,541,26
542,542,34
543,543,28
544,544,28
545,545,4
546,546,34
547,547,34
548,548,24
549,549,24
550,550,16
551,551,2
552,552,36
553,553,16
554,554,27
555,555,34
556,556,28
557,557,9
558,558,10
559,559,22
560,560,2
561,561,28
562,562,34
563,563,38
564,564,16
565,565,20
566,566,34
567,567,24
568,568,28
569,569,28
570,570,30
571,571,9
572,572,33
573,573,9
574,574,30
575,575,37
576,576,3
577,577,28
578,578,24
579,579,24
580,580,16
581,581,16
582,582,5
583,583,26
584,584,28
585,585,24
586,586,16
587,587,36
588,588,16
589,589,16
590,590,28
591,591,20
592,592,39
593,593,28
594,594,16
595,595,24
596,596,20
597,597,20
598,598,28
599,599,31
600,600,2
601,601,5
602,602,16
603,603,10
604,604,8
605,605,28
606,606,16
607,607,34
608,608,3
609,609,28
610,610,20
611,611,28
612,612,2
613,613,28
614,614,4
615,615,24
616,616,28
617,617,28
618,618,27
619,619,16
620,620,28
621,621,34
622,622,26
623,623,34
624,624,36
625,625,34
626,626,19
627,627,4
628,628,8
629,629,24
630,630,4
631,631,28
632,632,10
633,633,2
634,634,20
635,635,8
636,636,34
637,637,27
638,638,34
639,639,26
640,640,10
641,641,7
642,642,24
643,643,4
644,644,10
645,645,10
646,646,37
647,647,10
648,648,34
649,649,4
650,650,28
651,651,28
652,652,34
653,653,34
654,654,36
655,655,8
656,656,16
657,657,24
658,658,34
659,659,36
660,660,36
661,661,38
662,662,16
663,663,2
664,664,16
665,665,28
666,666,16
667,667,2
668,668,16
669,669,8
670,670,30
671,671,2
672,672,10
673,673,34
674,674,28
675,675,10
676,676,34
677,677,10
678,678,28
679,679,9
680,680,19
681,681,39
682,682,9
683,683,4
684,684,30
685,685,23
686,686,33
687,687,34
688,688,2
689,689,34
690,690,8
691,691,28
692,692,10
693,693,28
694,694,2
695,695,28
696,696,5
697,697,28
698,698,28
699,699,16
700,700,37
701,701,7
702,702,26
703,703,16
704,704,10
705,705,28
706,706,24
707,707,24
708,708,21
709,709,33
710,710,28
711,711,16
712,712,16
713,713,34
714,714,3
715,715,25
716,716,26
717,717,10
718,718,28
719,719,7
720,720,24
721,721,31
722,722,28
723,723,24
724,724,26
725,725,28
726,726,30
727,727,36
728,728,26
729,729,30
730,730,9
731,731,28
732,732,28
733,733,20
734,734,9
735,735,36
736,736,24
737,737,5
738,738,38
739,739,26
740,740,8
741,741,8
742,742,23
743,743,34
744,744,8
745,745,10
746,746,24
747,747,4
748,748,7
749,749,28
750,750,28
751,751,26
752,752,19
753,753,4
754,754,28
755,755,28
756,756,24
757,757,10
758,758,34
759,759,8
760,760,28
761,761,33
762,762,39
763,763,24
764,764,4
765,765,28
766,766,10
767,767,13
768,768,34
769,769,34
770,770,4
771,771,37
772,772,28
773,773,2
774,774,2
775,775,24
776,776,39
777,777,2
778,778,23
779,779,28
780,780,30
781,781,34
782,782,16
783,783,11
784,784,2
785,785,19
786,786,9
787,787,10
788,788,9
789,789,24
790,790,31
791,791,28
792,792,37
793,793,8
794,794,16
795,795,14
796,796,16
797,797,8
798,798,2
799,799,16
800,800,28
801,801,39
802,802,16
803,803,13
804,804,28
805,805,8
806,806,16
807,807,28
808,808,16
809,809,11
810,810,28
811,811,33
812,812,5
813,813,28
814,814,28
815,815,37
816,816,13
817,817,19
818,818,16
819,819,36
820,820,28
821,821,30
822,822,4
823,823,22
824,824,8
825,825,28
826,826,28
827,827,28
828,828,38
829,829,28
830,830,23
831,831,28
832,832,7
833,833,28
834,834,28
835,835,28
836,836,28
837,837,5
838,838,34
839,839,26
840,840,22
841,841,28
842,842,33
843,843,16
844,844,31
845,845,28
846,846,18
847,847,28
848,848,11
849,849,28
850,850,33
851,851,3
852,852,24
853,853,36
854,854,13
855,855,2
856,856,26
857,857,38
858,858,28
859,859,6
860,860,4
861,861,14
862,862,24
863,863,5
864,864,2
865,865,30
866,866,2
867,867,9
868,868,28
869,869,28
870,870,18
871,871,28
872,872,16
873,873,39
874,874,27
875,875,9
876,876,16
877,877,8
878,878,13
879,879,36
880,880,4
881,881,28
882,882,28
883,883,34
884,884,4
885,885,10
886,886,8
887,887,28
888,888,28
889,889,10
890,890,10
891,891,4
892,892,10
893,893,8
894,894,30
895,895,16
896,896,34
897,897,16
898,898,8
899,899,24
900,900,28
901,901,28
902,902,24
903,903,30
904,904,28
905,905,28
906,906,24
907,907,36
908,908,28
909,909,9
910,910,28
911,911,24
912,912,16
913,913,4
914,914,4
915,915,4
916,916,16
917,917,36
918,918,10
919,919,5
920,920,30
921,921,4
922,922,34
923,923,26
924,924,27
925,925,10
926,926,8
927,927,24
928,928,37
929,929,26
930,930,38
931,931,37
932,932,9
933,933,24
934,934,30
935,935,2
936,936,22
937,937,30
938,938,33
939,939,34
940,940,9
941,941,24
942,942,26
943,943,24
944,944,16
945,945,28
946,946,15
947,947,28
948,948,10
949,949,30
950,950,28
951,951,8
952,952,34
953,953,37
954,954,30
955,955,9
956,956,13
957,957,30
958,958,28
959,959,0
960,960,36
961,961,16
962,962,16
963,963,7
964,964,9
965,965,8
966,966,26
967,967,30
968,968,28
969,969,33
970,970,4
971,971,30
972,972,10
973,973,36
974,974,24
975,975,23
976,976,28
977,977,28
978,978,5
979,979,26
980,980,8
981,981,28
982,982,31
983,983,37
984,984,34
985,985,5
986,986,16
987,987,30
988,988,30
989,989,16
990,990,28
991,991,38
992,992,30
993,993,4
994,994,28
995,995,28
996,996,16
997,997,28
998,998,37
999,999,16
1000,1000,30
1001,1001,24
1002,1002,25
1003,1003,33
1004,1004,10
1005,1005,16
1006,1006,34
1007,1007,28
1008,1008,16
1009,1009,24
1010,1010,35
1011,1011,36
1012,1012,24
1013,1013,16
1014,1014,21
1015,1015,15
1016,1016,24
1017,1017,27
1018,1018,24
1019,1019,8
1020,1020,4
1021,1021,16
1022,1022,16
1023,1023,5
1024,1024,34
1025,1025,16
1026,1026,6
1027,1027,30
1028,1028,6
1029,1029,19
1030,1030,28
1031,1031,19
1032,1032,28
1033,1033,8
1034,1034,28
1035,1035,25
1036,1036,24
1037,1037,24
1038,1038,19
1039,1039,24
1040,1040,28
1041,1041,6
1042,1042,36
1043,1043,8
1044,1044,28
1045,1045,4
1046,1046,24
1047,1047,9
1048,1048,23
1049,1049,28
1050,1050,28
1051,1051,16
1052,1052,27
1053,1053,31
1054,1054,8
1055,1055,10
1056,1056,24
1057,1057,34
1058,1058,30
1059,1059,24
1060,1060,34
1061,1061,28
1062,1062,16
1063,1063,13
1064,1064,28
1065,1065,34
1066,1066,25
1067,1067,28
1068,1068,26
1069,1069,36
1070,1070,34
1071,1071,34
1072,1072,28
1073,1073,34
1074,1074,3
1075,1075,8
1076,1076,30
1077,1077,20
1078,1078,30
1079,1079,34
1080,1080,33
1081,1081,33
1082,1082,25
1083,1083,27
1084,1084,3
1085,1085,16
1086,1086,27
1087,1087,16
1088,1088,34
1089,1089,16
1090,1090,28
1091,1091,10
1092,1092,13
1093,1093,16
1094,1094,34
1095,1095,10
1096,1096,3
1097,1097,28
1098,1098,8
1099,1099,16
1100,1100,16
1101,1101,25
1102,1102,27
1103,1103,16
1104,1104,16
1105,1105,16
1106,1106,28
1107,1107,16
1108,1108,16
1109,1109,24
1110,1110,15
1111,1111,7
1112,1112,24
1113,1113,22
1114,1114,24
1115,1115,28
1116,1116,4
1117,1117,10
1118,1118,16
1119,1119,16
1120,1120,2
1121,1121,5
1122,1122,28
1123,1123,28
1124,1124,24
1125,1125,24
1126,1126,36
1127,1127,39
1128,1128,8
1129,1129,26
1130,1130,30
1131,1131,16
1132,1132,26
1133,1133,13
1134,1134,4
1135,1135,8
1136,1136,24
1137,1137,28
1138,1138,25
1139,1139,24
1140,1140,34
1141,1141,4
1142,1142,24
1143,1143,16
1144,1144,16
1145,1145,10
1146,1146,34
1147,1147,34
1148,1148,16
1149,1149,24
1150,1150,28
1151,1151,2
1152,1152,16
1153,1153,39
1154,1154,22
1155,1155,16
1156,1156,30
1157,1157,30
1158,1158,30
1159,1159,26
1160,1160,8
1161,1161,27
1162,1162,16
1163,1163,5
1164,1164,27
1165,1165,24
1166,1166,27
1167,1167,28
1168,1168,28
1169,1169,13
1170,1170,38
1171,1171,16
1172,1172,19
1173,1173,2
1174,1174,8
1175,1175,34
1176,1176,16
1177,1177,28
1178,1178,13
1179,1179,38
1180,1180,28
1181,1181,34
1182,1182,28
1183,1183,30
1184,1184,29
1185,1185,24
1186,1186,4
1187,1187,25
1188,1188,9
1189,1189,26
1190,1190,19
1191,1191,33
1192,1192,28
1193,1193,16
1194,1194,28
1195,1195,28
1196,1196,28
1197,1197,37
1198,1198,5
1199,1199,39
1200,1200,28
1201,1201,36
1202,1202,24
1203,1203,21
1204,1204,34
1205,1205,28
1206,1206,39
1207,1207,28
1208,1208,20
1209,1209,28
1210,1210,37
1211,1211,2
1212,1212,17
1213,1213,4
1214,1214,14
1215,1215,26
1216,1216,16
1217,1217,16
1218,1218,3
1219,1219,24
1220,1220,19
1221,1221,28
1222,1222,24
1223,1223,28
1224,1224,34
1225,1225,10
1226,1226,30
1227,1227,4
1228,1228,36
1229,1229,26
1230,1230,36
1231,1231,28
1232,1232,28
1233,1233,28
1234,1234,36
1235,1235,28
1236,1236,19
1237,1237,24
1238,1238,13
1239,1239,3
1240,1240,5
1241,1241,36
1242,1242,16
1243,1243,25
1244,1244,28
1245,1245,24
1246,1246,23
1247,1247,2
1248,1248,8
1249,1249,24
1250,1250,5
1251,1251,1
1252,1252,24
1253,1253,10
1254,1254,25
1255,1255,26
1256,1256,28
1257,1257,34
1258,1258,4
1259,1259,10
1260,1260,2
1261,1261,28
1262,1262,24
1263,1263,23
1264,1264,8
1265,1265,24
1266,1266,28
1267,1267,20
1268,1268,36
1269,1269,16
1270,1270,4
1271,1271,13
1272,1272,22
1273,1273,28
1274,1274,28
1275,1275,16
1276,1276,34
1277,1277,28
1278,1278,2
1279,1279,2
1280,1280,28
1281,1281,28
1282,1282,16
1283,1283,28
1284,1284,16
1285,1285,34
1286,1286,34
1287,1287,9
1288,1288,19
1289,1289,26
1290,1290,26
1291,1291,28
1292,1292,9
1293,1293,16
1294,1294,28
1295,1295,24
1296,1296,28
1297,1297,28
1298,1298,34
1299,1299,16
1300,1300,3
1301,1301,2
1302,1302,10
1303,1303,20
1304,1304,36
1305,1305,2
1306,1306,34
1307,1307,4
1308,1308,8
1309,1309,33
1310,1310,28
1311,1311,9
1312,1312,28
1313,1313,16
1314,1314,24
1315,1315,17
1316,1316,28
1317,1317,5
1318,1318,28
1319,1319,16
1320,1320,28
1321,1321,24
1322,1322,34
1323,1323,37
1324,1324,9
1325,1325,36
1326,1326,5
1327,1327,28
1328,1328,30
1329,1329,28
1330,1330,4
1331,1331,16
1332,1332,28
1333,1333,20
1334,1334,27
1335,1335,39
1336,1336,38
1337,1337,16
1338,1338,27
1339,1339,34
1340,1340,19
1341,1341,28
1342,1342,28
1343,1343,2
1344,1344,37
1345,1345,23
1346,1346,34
1347,1347,34
1348,1348,13
1349,1349,36
1350,1350,24
1351,1351,9
1352,1352,13
1353,1353,1
1354,1354,5
1355,1355,16
1356,1356,28
1357,1357,24
1358,1358,34
1359,1359,16
1360,1360,33
1361,1361,8
1362,1362,16
1363,1363,28
1364,1364,24
1365,1365,10
1366,1366,34
1367,1367,34
1368,1368,2
1369,1369,2
1370,1370,28
1371,1371,8
1372,1372,4
1373,1373,18
1374,1374,24
1375,1375,3
1376,1376,8
1377,1377,30
1378,1378,24
1379,1379,27
1380,1380,14
1381,1381,23
1382,1382,20
1383,1383,10
1384,1384,2
1385,1385,14
1386,1386,28
1387,1387,8
1388,1388,19
1389,1389,27
1390,1390,10
1391,1391,28
1392,1392,31
1393,1393,21
1394,1394,10
1395,1395,22
1396,1396,28
1397,1397,4
1398,1398,16
1399,1399,34
1400,1400,2
1401,1401,28
1402,1402,16
1403,1403,28
1404,1404,5
1405,1405,5
1406,1406,2
1407,1407,21
1408,1408,31
1409,1409,28
1410,1410,24
1411,1411,14
1412,1412,28
1413,1413,9
1414,1414,37
1415,1415,10
1416,1416,10
1417,1417,27
1418,1418,30
1419,1419,24
1420,1420,2
1421,1421,26
1422,1422,34
1423,1423,28
1424,1424,16
1425,1425,26
1426,1426,30
1427,1427,10
1428,1428,34
1429,1429,2
1430,1430,4
1431,1431,2
1432,1432,13
1433,1433,4
1434,1434,31
1435,1435,24
1436,1436,39
1437,1437,2
1438,1438,4
1439,1439,28
1440,1440,26
1441,1441,10
1442,1442,5
1443,1443,4
1444,1444,28
1445,1445,23
1446,1446,16
1447,1447,5
1448,1448,38
1449,1449,31
1450,1450,20
1451,1451,8
1452,1452,5
1453,1453,28
1454,1454,20
1455,1455,37
1456,1456,39
1457,1457,4
1458,1458,2
1459,1459,10
1460,1460,10
1461,1461,2
1462,1462,26
1463,1463,31
1464,1464,16
1465,1465,28
1466,1466,28
1467,1467,30
1468,1468,24
1469,1469,28
1470,1470,38
1471,1471,0
1472,1472,34
1473,1473,16
1474,1474,5
1475,1475,5
1476,1476,20
1477,1477,36
1478,1478,2
1479,1479,10
1480,1480,28
1481,1481,16
1482,1482,16
1483,1483,36
1484,1484,28
1485,1485,28
1486,1486,28
1487,1487,28
1488,1488,21
1489,1489,24
1490,1490,37
1491,1491,28
1492,1492,8
1493,1493,28
1494,1494,8
1495,1495,24
1496,1496,28
1497,1497,19
1498,1498,28
1499,1499,28
1500,1500,16
1501,1501,34
1502,1502,28
1503,1503,28
1504,1504,34
1505,1505,28
1506,1506,2
1507,1507,34
1508,1508,28
1509,1509,2
1510,1510,16
1511,1511,28
1512,1512,28
1513,1513,24
1514,1514,28
1515,1515,28
1516,1516,18
1517,1517,28
1518,1518,28
1519,1519,10
1520,1520,2
1521,1521,2
1522,1522,28
1523,1523,22
1524,1524,28
1525,1525,22
1526,1526,9
1527,1527,38
1528,1528,31
1529,1529,34
1530,1530,8
1531,1531,22
1532,1532,28
1533,1533,16
1534,1534,26
1535,1535,24
1536,1536,2
1537,1537,16
1538,1538,38
1539,1539,2
1540,1540,23
1541,1541,28
1542,1542,34
1543,1543,23
1544,1544,34
1545,1545,27
1546,1546,2
1547,1547,2
1548,1548,24
1549,1549,28
1550,1550,28
1551,1551,28
1552,1552,1
1553,1553,16
1554,1554,26
1555,1555,28
1556,1556,28
1557,1557,28
1558,1558,16
1559,1559,10
1560,1560,3
1561,1561,28
1562,1562,19
1563,1563,10
1564,1564,9
1565,1565,7
1566,1566,24
1567,1567,14
1568,1568,28
1569,1569,10
1570,1570,8
1571,1571,28
1572,1572,8
1573,1573,28
1574,1574,2
1575,1575,6
1576,1576,10
1577,1577,26
1578,1578,28
1579,1579,28
1580,1580,2
1581,1581,23
1582,1582,13
1583,1583,16
1584,1584,30
1585,1585,16
1586,1586,2
1587,1587,24
1588,1588,36
1589,1589,31
1590,1590,2
1591,1591,22
1592,1592,31
1593,1593,22
1594,1594,30
1595,1595,36
1596,1596,34
1597,1597,24
1598,1598,36
1599,1599,36
1600,1600,28
1601,1601,28
1602,1602,37
1603,1603,36
1604,1604,28
1605,1605,16
1606,1606,28
1607,1607,16
1608,1608,27
1609,1609,16
1610,1610,2
1611,1611,16
1612,1612,34
1613,1613,8
1614,1614,24
1615,1615,24
1616,1616,28
1617,1617,26
1618,1618,27
1619,1619,28
1620,1620,16
1621,1621,28
1622,1622,16
1623,1623,23
1624,1624,19
1625,1625,28
1626,1626,4
1627,1627,16
1628,1628,28
1629,1629,24
1630,1630,8
1631,1631,20
1632,1632,28
1633,1633,10
1634,1634,24
1635,1635,19
1636,1636,38
1637,1637,16
1638,1638,24
1639,1639,24
1640,1640,25
1641,1641,4
1642,1642,27
1643,1643,16
1644,1644,16
1645,1645,31
1646,1646,19
1647,1647,16
1648,1648,30
1649,1649,20
1650,1650,24
1651,1651,16
1652,1652,8
1653,1653,24
1654,1654,16
1655,1655,26
1656,1656,5
1657,1657,26
1658,1658,16
1659,1659,2
1660,1660,4
1661,1661,16
1662,1662,16
1663,1663,35
1664,1664,23
1665,1665,10
1666,1666,22
1667,1667,5
1668,1668,28
1669,1669,28
1670,1670,4
1671,1671,30
1672,1672,19
1673,1673,16
1674,1674,26
1675,1675,24
1676,1676,30
1677,1677,34
1678,1678,4
1679,1679,34
1680,1680,24
1681,1681,19
1682,1682,16
1683,1683,34
1684,1684,28
1685,1685,35
1686,1686,28
1687,1687,2
1688,1688,16
1689,1689,2
1690,1690,19
1691,1691,34
1692,1692,34
1693,1693,2
1694,1694,28
1695,1695,28
1696,1696,13
1697,1697,19
1698,1698,28
1699,1699,8
1700,1700,28
1701,1701,4
1702,1702,27
1703,1703,24
1704,1704,28
1705,1705,10
1706,1706,30
1707,1707,10
1708,1708,16
1709,1709,4
1710,1710,25
1711,1711,11
1712,1712,5
1713,1713,37
1714,1714,16
1715,1715,28
1716,1716,26
1717,1717,24
1718,1718,16
1719,1719,6
1720,1720,16
1721,1721,24
1722,1722,16
1723,1723,5
1724,1724,28
1725,1725,24
1726,1726,37
1727,1727,28
1728,1728,16
1729,1729,2
1730,1730,24
1731,1731,28
1732,1732,16
1733,1733,28
1734,1734,25
1735,1735,16
1736,1736,34
1737,1737,28
1738,1738,34
1739,1739,34
1740,1740,26
1741,1741,34
1742,1742,28
1743,1743,28
1744,1744,30
1745,1745,3
1746,1746,16
1747,1747,27
1748,1748,16
1749,1749,30
1750,1750,28
1751,1751,27
1752,1752,10
1753,1753,16
1754,1754,24
1755,1755,24
1756,1756,10
1757,1757,28
1758,1758,16
1759,1759,16
1760,1760,28
1761,1761,34
1762,1762,24
1763,1763,37
1764,1764,34
1765,1765,8
1766,1766,23
1767,1767,24
1768,1768,16
1769,1769,27
1770,1770,30
1771,1771,16
1772,1772,24
1773,1773,27
1774,1774,27
1775,1775,34
1776,1776,9
1777,1777,16
1778,1778,28
1779,1779,16
1780,1780,28
1781,1781,34
1782,1782,28
1783,1783,6
1784,1784,4
1785,1785,26
1786,1786,16
1787,1787,24
1788,1788,8
1789,1789,16
1790,1790,10
1791,1791,28
1792,1792,5
1793,1793,19
1794,1794,10
1795,1795,13
1796,1796,23
1797,1797,16
1798,1798,16
1799,1799,28
1800,1800,11
1801,1801,28
1802,1802,16
1803,1803,23
1804,1804,30
1805,1805,34
1806,1806,4
1807,1807,13
1808,1808,28
1809,1809,36
1810,1810,16
1811,1811,36
1812,1812,13
1813,1813,24
1814,1814,16
1815,1815,30
1816,1816,28
1817,1817,8
1818,1818,6
1819,1819,10
1820,1820,16
1821,1821,30
1822,1822,28
1823,1823,24
1824,1824,30
1825,1825,24
1826,1826,4
1827,1827,24
1828,1828,22
1829,1829,28
1830,1830,2
1831,1831,36
1832,1832,2
1833,1833,10
1834,1834,8
1835,1835,30
1836,1836,10
1837,1837,0
1838,1838,28
1839,1839,20
1840,1840,5
1841,1841,39
1842,1842,37
1843,1843,10
1844,1844,36
1845,1845,16
1846,1846,1
1847,1847,27
1848,1848,2
1849,1849,19
1850,1850,9
1851,1851,28
1852,1852,16
1853,1853,34
1854,1854,34
1855,1855,28
1856,1856,34
1857,1857,4
1858,1858,28
1859,1859,28
1860,1860,4
1861,1861,19
1862,1862,28
1863,1863,28
1864,1864,34
1865,1865,28
1866,1866,30
1867,1867,5
1868,1868,10
1869,1869,16
1870,1870,31
1871,1871,16
1872,1872,28
1873,1873,28
1874,1874,22
1875,1875,8
1876,1876,16
1877,1877,28
1878,1878,0
1879,1879,39
1880,1880,34
1881,1881,28
1882,1882,16
1883,1883,8
1884,1884,28
1885,1885,10
1886,1886,10
1887,1887,34
1888,1888,28
1889,1889,26
1890,1890,2
1891,1891,8
1892,1892,16
1893,1893,2
1894,1894,28
1895,1895,34
1896,1896,37
1897,1897,13
1898,1898,2
1899,1899,28
1900,1900,8
1901,1901,9
1902,1902,10
1903,1903,28
1904,1904,24
1905,1905,28
1906,1906,28
1907,1907,4
1908,1908,16
1909,1909,16
1910,1910,10
1911,1911,24
1912,1912,28
1913,1913,28
1914,1914,10
1915,1915,34
1916,1916,34
1917,1917,38
1918,1918,18
1919,1919,28
1920,1920,16
1921,1921,34
1922,1922,28
1923,1923,28
1924,1924,28
1925,1925,16
1926,1926,28
1927,1927,24
1928,1928,28
1929,1929,24
1930,1930,19
1931,1931,10
1932,1932,34
1933,1933,26
1934,1934,20
1935,1935,16
1936,1936,28
1937,1937,37
1938,1938,34
1939,1939,19
1940,1940,8
1941,1941,5
1942,1942,36
1943,1943,36
1944,1944,28
1945,1945,28
1946,1946,3
1947,1947,36
1948,1948,28
1949,1949,4
1950,1950,36
1951,1951,24
1952,1952,14
1953,1953,28
1954,1954,25
1955,1955,3
1956,1956,16
1957,1957,10
1958,1958,4
1959,1959,16
1960,1960,28
1961,1961,19
1962,1962,36
1963,1963,28
1964,1964,4
1965,1965,16
1966,1966,20
1967,1967,25
1968,1968,4
1969,1969,16
1970,1970,28
1971,1971,34
1972,1972,16
1973,1973,27
1974,1974,39
1975,1975,34
1976,1976,8
1977,1977,31
1978,1978,28
1979,1979,24
1980,1980,34
1981,1981,34
1982,1982,28
1983,1983,16
1984,1984,28
1985,1985,34
1986,1986,28
1987,1987,6
1988,1988,2
1989,1989,28
1990,1990,15
1991,1991,10
1992,1992,34
1993,1993,37
1994,1994,10
1995,1995,26
1996,1996,28
1997,1997,12
